Species name,Chemical name,LC50 in mg per L
Abramis brama,Dichlorvos,21.930800258996474
Acipenser brevirostrum,Carbaryl,1.8099999999999998
Ameiurus melas,Ametryn,25.000000000000007
Ameiurus melas,Atrazine,35
Ameiurus melas,Azinphos-methyl,4.26242729413342
Ameiurus melas,Carbaryl,20.000000000000004
Ameiurus melas,Chlorbromuron,9
Ameiurus melas,Diazinon,7.999999999999999
Ameiurus melas,Dimethametryn,6
Ameiurus melas,Diquat dibromide,64.668384856899
Ameiurus melas,Fenthion,1.4858672620025821
Ameiurus melas,Fluometuron,55.00000000000001
Ameiurus melas,Malathion,12.285357137665967
Ameiurus melas,Methyl parathion,6.640000000000001
Ameiurus melas,Metobromuron,39.99999999999999
Ameiurus melas,"p,p'-DDT",0.014204782245768563
Ameiurus melas,Profenofos,0.020000000000000004
Ameiurus melas,Prometon,20.000000000000004
Ameiurus melas,Secbumeton,25.000000000000007
Ameiurus melas,Simazine,64.99999999999999
Ameiurus melas,Terbumeton,10
Ameiurus melas,Terbutryn,3
Ameiurus melas,Terbutylazine,7
Ameiurus melas,Trichlorfon,0.515
Ameiurus nebulosus,Dinocap,0.61
Ameiurus nebulosus,Molinate,34
Ameiurus nebulosus,Monuron,57.00000000000001
Anguilla anguilla,"2,3,5,6-Tetrachloronitrobenzene",1.4
Anguilla anguilla,Chlorpyrifos,0.54
Anguilla anguilla,Diazinon,0.08315785056852004
Anguilla anguilla,Dichlorvos,0.852
Anguilla anguilla,Disulfoton,0.037
Anguilla anguilla,Endosulfan,0.03327835266446326
Anguilla anguilla,Fenitrothion,0.20000000000000004
Anguilla anguilla,Methyl parathion,4.781840649791668
Anguilla anguilla,Molinate,33.5
Anguilla anguilla,Thiobencarb,13.199999999999998
Anguilla anguilla,Trichlorfon,3.38
Anguilla japonica,"2,7,8,9-Tricyclazole",3.5000000000000004
Anguilla japonica,Acephate,100
Anguilla japonica,Ametryn,1.5
Anguilla japonica,Benfuracarb,1.2
Anguilla japonica,Bensultap,28
Anguilla japonica,Benzofenap,39.99999999999999
Anguilla japonica,Bilanafos,7.4
Anguilla japonica,Captafol,0.08399999999999999
Anguilla japonica,Captan,0.29999999999999993
Anguilla japonica,Carbaryl,10
Anguilla japonica,Carbosulfan,1.3
Anguilla japonica,Chlorfenvinphos,0.038
Anguilla japonica,Chlornitrofen,150.00000000000003
Anguilla japonica,Chlorothalonil,0.038
Anguilla japonica,Chlorpyrifos-methyl,5.000000000000001
Anguilla japonica,Cycloprothrin,100
Anguilla japonica,Cypermethrin,0.0036
Anguilla japonica,Diazinon,2.8
Anguilla japonica,Dichlorvos,1.5
Anguilla japonica,Dicofol,4.4
Anguilla japonica,Dimethirimol,86.99999999999999
Anguilla japonica,Dimethoate,200.00000000000003
Anguilla japonica,Dinocap,0.013999999999999999
Anguilla japonica,Disulfoton,7.500000000000001
Anguilla japonica,Edifenphos,4
Anguilla japonica,Endosulfan,0.013999999999999999
Anguilla japonica,EPN,3.2000000000000006
Anguilla japonica,Ethidimuron,44
Anguilla japonica,Etofenprox,13.999999999999998
Anguilla japonica,Fenitrothion,6.5
Anguilla japonica,Fenobucarb,18.999999999999996
Anguilla japonica,Fenthion,12.000000000000002
Anguilla japonica,Fenvalerate,0.0048
Anguilla japonica,Flutolanil,100
Anguilla japonica,Hexazinone,75.00000000000001
Anguilla japonica,Malathion,4.1
Anguilla japonica,Mecoprop,100
Anguilla japonica,Methomyl,1.7
Anguilla japonica,Metolcarb,22.999999999999996
Anguilla japonica,Permethrin,0.35
Anguilla japonica,Phosmet,1.3
Anguilla japonica,Pretilachlor,5.3
Anguilla japonica,Profenofos,2.5
Anguilla japonica,Propargite,3.2999999999999994
Anguilla japonica,Propoxur,4.4
