Species name,Chemical name,LC50 or EC50 in mg per L
Aedes aegypti,Aldicarb,0.27
Aedes aegypti,Cypermethrin,7.100000000000003e-4
Aedes aegypti,Deltamethrin,1.5000000000000004e-4
Aedes aegypti,Dimethoate,5.040000000000001
Aedes aegypti,"p,p'-DDT",0.016248076809271924
Aedes aegypti,Permethrin,5.993325912177947e-4
Aedes aegypti,Resmethrin,0.0017999999999999997
Asellus aquaticus,Azinphos-methyl,0.0048
Asellus aquaticus,Chlorpyrifos,0.003029851481508623
Asellus aquaticus,Methoxychlor,0.001
Asellus aquaticus,Parathion,0.012000000000000002
Baetis rhodani,Dimethoate,0.007000000000000002
Baetis rhodani,Propiconazole,0.9
Bosmina longirostris,"p,p'-DDT",6.299999999999999e-4
Brachionus plicatilis,"2,4-Dichlorophenoxyacetic acid",598
Brachionus plicatilis,Azinphos-ethyl,5.200000000000001
Brachionus plicatilis,Dimethoate,217.9999999999999
Brachionus plicatilis,Endosulfan,5.599999999999999
Brachionus plicatilis,Omethoate,291.00000000000006
Brachionus plicatilis,Trichlorfon,12.999999999999998
Bulinus truncatus,Dimethoate,0.0029
Bulinus truncatus,Methomyl,0.87
Ceriodaphnia dubia,"2,4-Dichlorophenoxyacetic acid",315.5820020216616
Ceriodaphnia dubia,"2,4,5-Trichlorophenoxyacetic acid",200.00000000000003
Ceriodaphnia dubia,Alachlor,11.777361555904042
Ceriodaphnia dubia,Atrazine,29.999999999999996
Ceriodaphnia dubia,Bifenthrin,7.000000000000002e-5
Ceriodaphnia dubia,Butachlor,3
Ceriodaphnia dubia,Carbaryl,0.005957851961907078
Ceriodaphnia dubia,Carbofuran,0.002280350850198277
Ceriodaphnia dubia,Chlorfenvinphos,4.0000000000000013e-4
Ceriodaphnia dubia,Chlorpyrifos,6.867348565470093e-5
Ceriodaphnia dubia,Cyfluthrin,1.4000000000000004e-4
Ceriodaphnia dubia,Diazinon,4.164197392251855e-4
Ceriodaphnia dubia,Dichlorvos,1.3917614738165448e-4
Ceriodaphnia dubia,Dicrotophos,0.019200000000000002
Ceriodaphnia dubia,Endosulfan,0.16177237094139404
Ceriodaphnia dubia,Endothal,48.28999896458893
Ceriodaphnia dubia,Esfenvalerate,1.7958284996067984e-4
Ceriodaphnia dubia,Fenthion,0.0017049926686059395
Ceriodaphnia dubia,Fipronil,0.0185265991857849
